queue_id,created_at,title,classification,proposed_pixel_prompt,raw_content_pixel_art_prompt
b063d5b0-60d1-48bf-8491-b7344ad0345e,2026-06-08T15:33:44.964419+00:00,Northpoint City quietly became Singapore's most ambitious suburban mall in Yishun,heart,"16-bit JRPG pixel art style, Yishun HDB town centre, large gleaming suburban shopping mall exterior with MRT station integrated beside it, pixel art shoppers walking through bright atrium, cheerful daytime lighting, Singapore heartland aesthetic, warm yellows and greens, community library signage visible on upper floor, bustling pixel art crowd","16-bit JRPG pixel art style, Yishun HDB town centre, large gleaming suburban shopping mall exterior with MRT station integrated beside it, pixel art shoppers walking through bright atrium, cheerful daytime lighting, Singapore heartland aesthetic, warm yellows and greens, community library signage visible on upper floor, bustling pixel art crowd"
b25fea87-77d7-455f-9948-08f466e97a27,2026-06-08T15:33:58.383823+00:00,"Yishun's green lungs: parks, reservoirs, and mangroves holding the chaos at bay",heart,"16-bit JRPG pixel art style, Yishun HDB estate background with lush green park in foreground, pixel art mangrove trees and mudflats at golden hour, winding reservoir path with wooden viewing deck, dragon boat silhouette on shimmering water, warm peaceful lighting, nature thriving beside concrete blocks","16-bit JRPG pixel art style, Yishun HDB estate background with lush green park in foreground, pixel art mangrove trees and mudflats at golden hour, winding reservoir path with wooden viewing deck, dragon boat silhouette on shimmering water, warm peaceful lighting, nature thriving beside concrete blocks"
318a418d-36ce-4fae-b119-ddde9be37dec,2026-06-08T15:35:05.768127+00:00,Bombs in Yishun MRT drains: the Al-Qaeda plot Singapore foiled in 2001,dagger,"16-bit JRPG pixel art style, Yishun MRT station exterior at night, ominous green sewer grate glowing faintly, shadowy figures on bicycles in background, pixel art police tape and ISD officers in tactical gear, dark blue-black sky, tense atmospheric lighting, muted colour palette with red warning highlights","16-bit JRPG pixel art style, Yishun MRT station exterior at night, ominous green sewer grate glowing faintly, shadowy figures on bicycles in background, pixel art police tape and ISD officers in tactical gear, dark blue-black sky, tense atmospheric lighting, muted colour palette with red warning highlights"
7617e11e-655f-45d6-8ee2-80fdfa2b1862,2026-06-08T15:35:25.880038+00:00,Yishun MRT was a target: the Al-Qaeda sleeper cell that nearly bombed Singapore,dagger,"16-bit JRPG pixel art style, Yishun MRT station exterior at dusk, shadowy pixel art figures observing from a distance with notepads, ominous red sky, pixel art surveillance aesthetic, cold blue and grey tones, heavy shadow detail, tension-filled atmosphere, no identifiable real people","16-bit JRPG pixel art style, Yishun MRT station exterior at dusk, shadowy pixel art figures observing from a distance with notepads, ominous red sky, pixel art surveillance aesthetic, cold blue and grey tones, heavy shadow detail, tension-filled atmosphere, no identifiable real people"
0d904a7c-1123-445f-83f8-2e19b51e3677,2026-06-08T15:35:50.179819+00:00,Yishun station anchored Singapore's first MRT network in 1988,heart,"16-bit JRPG pixel art style, Yishun MRT station exterior at dusk in 1988, retro pixel art train pulling into station, warm orange sky, small pixel art crowd of commuters on platform, celebratory bunting, lush green pixel art trees lining the tracks, nostalgic hopeful atmosphere","16-bit JRPG pixel art style, Yishun MRT station exterior at dusk in 1988, retro pixel art train pulling into station, warm orange sky, small pixel art crowd of commuters on platform, celebratory bunting, lush green pixel art trees lining the tracks, nostalgic hopeful atmosphere"
28a5c7ee-f2f7-48c8-a3e1-3fe0ff4a4fb3,2026-06-08T15:36:08.721507+00:00,Yishun finally connected to the rest of Singapore in 1996 rail expansion,heart,"16-bit JRPG pixel art style, Yishun MRT station exterior at golden hour, pixel art train pulling into elevated platform, cheerful commuters in pixel form boarding carriages, HDB blocks visible in background, warm celebratory lighting, retro 1990s Singapore aesthetic, lush green pixel art trees lining the tracks","16-bit JRPG pixel art style, Yishun MRT station exterior at golden hour, pixel art train pulling into elevated platform, cheerful commuters in pixel form boarding carriages, HDB blocks visible in background, warm celebratory lighting, retro 1990s Singapore aesthetic, lush green pixel art trees lining the tracks"
f81384c3-5b3e-49ba-a9df-ed8804e02c29,2026-06-08T15:36:26.983582+00:00,Foiled Yishun MRT bomb plot quietly shaped Singapore's entire rail security posture,heart,"16-bit JRPG pixel art style, Yishun MRT station platform interior, warm overhead lighting, pixel art uniformed transit security officer patrolling alongside commuters, CCTV cameras visible on ceiling, clean HDB-era Singapore aesthetic, hopeful and orderly atmosphere, soft blue and white colour palette","16-bit JRPG pixel art style, Yishun MRT station platform interior, warm overhead lighting, pixel art uniformed transit security officer patrolling alongside commuters, CCTV cameras visible on ceiling, clean HDB-era Singapore aesthetic, hopeful and orderly atmosphere, soft blue and white colour palette"
8eaec7cb-bc67-40a1-8841-8427a557169f,2026-06-08T15:36:48.638497+00:00,Yishun station turns 36: the MRT stop that put the town on the map,heart,"16-bit JRPG pixel art style, Yishun MRT station exterior at dusk in 1988, retro Singapore HDB skyline in background, pixel art train arriving at platform, warm orange sunset lighting, small crowd of pixel art commuters on platform, celebratory bunting and signage, nostalgic pastel colour palette, no real people depicted","16-bit JRPG pixel art style, Yishun MRT station exterior at dusk in 1988, retro Singapore HDB skyline in background, pixel art train arriving at platform, warm orange sunset lighting, small crowd of pixel art commuters on platform, celebratory bunting and signage, nostalgic pastel colour palette, no real people depicted"
2a303644-765b-478b-8edc-36c1ecc7230c,2026-06-08T15:37:05.093837+00:00,Yishun football club quietly becomes Singapore's only NFL Challenge Cup dynasty,heart,"16-bit JRPG pixel art style, Yishun HDB neighbourhood football pitch at golden hour, pixel art trophy glowing on a small podium, green grass field with faded white lines, cheerful crowd of pixel art silhouettes in the stands, warm celebratory lighting, Singapore void deck visible in background","16-bit JRPG pixel art style, Yishun HDB neighbourhood football pitch at golden hour, pixel art trophy glowing on a small podium, green grass field with faded white lines, cheerful crowd of pixel art silhouettes in the stands, warm celebratory lighting, Singapore void deck visible in background"
aa137a76-a094-468d-aec8-9cd6ce6fb25f,2026-06-08T15:37:30.760553+00:00,Yishun flat at centre of murder-for-hire plot that sent man to gallows,dagger,"16-bit JRPG pixel art style, Yishun HDB corridor at night, a single HDB flat door lit by a flickering fluorescent light, yellow police tape across the doorway, dark blue night sky visible through corridor gaps, ominous shadow cast on tiled floor, pixel art potted plant overturned, oppressive atmospheric lighting, muted colour palette with harsh yellow crime scene accents","16-bit JRPG pixel art style, Yishun HDB corridor at night, a single HDB flat door lit by a flickering fluorescent light, yellow police tape across the doorway, dark blue night sky visible through corridor gaps, ominous shadow cast on tiled floor, pixel art potted plant overturned, oppressive atmospheric lighting, muted colour palette with harsh yellow crime scene accents"
